Hotel,Count,Business,Leisure
Monhotel Lounge SPA,15,5,10
Kube Hotel Ice Bar,14,4,10
Splendid Etoile,44,6,38
Hotel Trianon Rive Gauche,128,19,109
Novotel Suites Paris Nord 18 me,103,8,95
Select Hotel,119,14,105
H tel De Vend me,39,7,32
Pullman Paris Centre Bercy,111,8,103
Gardette Park Hotel,95,15,80
Hotel Panache,44,9,35
H tel des Ducs D Anjou,68,14,54
Hotel Scribe Paris Opera by Sofitel,70,13,57
H tel Juliana Paris,82,12,70
Hotel L Antoine,86,12,74
Belfast,46,15,31
Shangri La Hotel Paris,13,2,11
Mercure Paris Tour Eiffel Pont Mirabeau,40,7,33
Hotel Le 10 BIS,15,6,9
Crowne Plaza Paris R publique,121,22,99
Le Metropolitan a Tribute Portfolio Hotel,33,6,27
Atala Champs Elys es,8,3,5
H tel de Jos phine BONAPARTE,37,4,33
Maison Souquet,33,3,30
Hotel Tour d Auvergne Opera,18,2,16
Le Senat,56,6,50
Windsor Opera,13,3,10
Holiday Inn Paris Montparnasse Pasteur,22,2,20
H tel Keppler,46,7,39
Les Plumes Hotel,67,6,61
Hotel des Tuileries Relais du Silence,46,8,38
Bradford Elys es Astotel,41,4,37
Amp re,82,15,67
Melia Paris Champs Elys es,8,5,3
Le Parisis Paris Tour Eiffel,217,20,197
Hilton Paris Opera,57,13,44
Holiday Inn Paris Gare de Lyon Bastille,198,24,174
H tel Chaplain Paris Rive Gauche,59,7,52
H tel Regina Op ra Grands Boulevards,26,2,24
Hotel Astor Saint Honor ,15,3,12
Op ra Marigny,64,10,54
H tel Diva Opera,134,23,111
Le Marcel,46,6,40
H tel Duo,131,37,94
H tel Le Marianne,27,10,17
Hotel Eden,39,6,33
H tel de la Bourdonnais,160,19,141
Best Western Premier Marais Grands Boulevards,134,17,117
Le Dokhan s a Tribute Portfolio Hotel,30,8,22
Le Relais Madeleine,35,3,32
Terrass H tel Montmartre by MH,106,8,98
Millennium Hotel Paris Opera,74,23,51
Waldorf Madeleine,148,28,120
Hotel La Lanterne,59,7,52
H tel Square Louvois,37,8,29
Hotel Marignan Champs Elys es,82,12,70
Le Grey Hotel,35,7,28
Le Pavillon des Lettres,22,2,20
H tel San R gis,38,5,33
Garden Elys e,37,7,30
Hotel Louvre Montana,31,4,27
Le 123 S bastopol Astotel,63,12,51
Le 123 Elysees Astotel,19,3,16
Best Western Mercedes Arc de Triomphe,37,7,30
1K Hotel,95,20,75
H tel Westminster,173,23,150
L H tel,45,6,39
Mercure Paris Porte d Orleans,6,2,4
Maxim Op ra,23,2,21
Le Marceau Bastille,85,19,66
Hotel Odeon Saint Germain,89,8,81
La Villa Haussmann,23,6,17
Sofitel Paris Arc De Triomphe,93,15,78
Hotel Mercure La Sorbonne Saint Germain des Pr s,41,7,34
La Tremoille Paris,30,1,29
Hotel Op ra Richepanse,104,9,95
H tel Duc De St Simon,51,5,46
Hotel Le Six,26,3,23
Best Western Premier Louvre Saint Honor ,113,14,99
La Villa Maillot,30,11,19
H tel Madison by MH,46,5,41
Novotel Paris 14 Porte d Orl ans,15,1,14
Ritz Paris,9,0,9
Hotel Les Rives de Notre Dame,37,6,31
Sofitel Paris Le Faubourg,58,6,52
Bassano,47,12,35
Best Western Premier Le Swann,50,8,42
H tel des Academies et des Arts,19,6,13
Hotel Lumen Paris Louvre,44,2,42
Le Marquis Eiffel,62,11,51
COQ Hotel Paris,135,30,105
Mill sime H tel,69,8,61
Legend Saint Germain by Elegancia,34,4,30
Au Manoir Saint Germain,66,6,60
Best Western S vres Montparnasse,96,25,71
Nolinski Paris,46,5,41
Le Tourville Eiffel,65,8,57
Paris Marriott Opera Ambassador Hotel,32,7,25
Idol Hotel,50,8,42
H tel California Champs Elys es,126,15,111
Hotel de Seze,34,4,30
H tel Hor,166,41,125
Best Western Op ra Batignolles,51,7,44
H tel de Banville,43,10,33
Villa Eugenie,30,10,20
H tel Raphael,33,5,28
Le 7 Eiffel Hotel,37,5,32
Paris Marriott Rive Gauche Hotel,30,17,13
Hotel Le Pera,14,1,13
H tel Bedford,185,18,167
Drawing Hotel,9,4,5
Novotel Paris Centre Gare Montparnasse,128,9,119
D clic Hotel,36,6,30
Villa d Estr es,19,1,18
Hotel Plaza Elys es,44,7,37
Hotel Champs Elys es Friedland by Happyculture,40,3,37
Pullman Paris Tour Eiffel,461,30,431
Hotel Bachaumont,77,19,58
Franklin Roosevelt,43,9,34
H tel Horset Op ra Best Western Premier Collection,100,19,81
Best Western Paris Gare Saint Lazare,48,3,45
Splendide Royal Paris,9,1,8
Mercure Paris Alesia,50,12,38
Hotel The Peninsula Paris,21,1,20
Le Narcisse Blanc Spa,27,2,25
H tel Les Dames du Panth on,37,7,30
H tel Victor Hugo Paris Kl ber,25,7,18
Grand Hotel Saint Michel,87,13,74
Hotel Maison Ath n e,54,10,44
Relais Du Louvre,31,6,25
Pullman Paris Montparnasse,149,33,116
Best Western Ducs de Bourgogne,86,10,76
Best Western Premier Op ra Opal,75,11,64
Amarante Champs Elys es,56,14,42
H tel Ad le Jules,39,15,24
Molitor Paris MGallery by Sofitel,34,5,29
First Hotel Paris Tour Eiffel,46,9,37
H tel Regina,170,20,150
Mercure Paris Gare De Lyon TGV,207,24,183
Villa Montparnasse,33,12,21
H tel des Champs Elys es,83,17,66
Lyric H tel Paris,47,14,33
Hotel Design Secret de Paris,43,7,36
Hotel Dupond Smith,5,0,5
Okko Hotels Paris Porte De Versailles,20,6,14
La Villa Royale,45,4,41
Hotel Indigo Paris Opera,52,6,46
Villa Opera Drouot,58,4,54
Novotel Paris Gare De Lyon,280,22,258
H tel Belloy Saint Germain By Happyculture,45,9,36
Hotel Louis 2,28,1,27
InterContinental Paris Le Grand,57,7,50
H tel Le M,66,13,53
Seven Hotel,25,5,20
Platine Hotel Spa,63,8,55
Mercure Paris Gare Montparnasse,16,4,12
Mercure Paris Notre Dame Saint Germain des Pr s,49,5,44
Mercure Paris Centre Tour Eiffel,426,21,405
Banke H tel,83,15,68
Saint James Albany Paris Hotel Spa,391,46,345
Mercure Paris Montparnasse Raspail,53,8,45
Golden Tulip Bercy Gare de Lyon 209,83,16,67
Montfleuri,127,32,95
Mercure Paris Pigalle Sacre Coeur,40,3,37
Mercure Paris Terminus Nord,813,156,657
H tel F licien by Elegancia,41,7,34
Le Lavoisier,8,1,7
H tel Moli re,42,7,35
Vice Versa,32,10,22
H tel Etoile Saint Honor by Happyculture,86,9,77
Hotel Le petit Paris,24,7,17
Mercure Paris 19 Philharmonie La Villette,31,8,23
Royal Garden Champs Elysees,107,14,93
H tel Brighton Esprit de France,156,12,144
H tel Paris Bastille Boutet MGallery by Sofitel,27,5,22
L Edmond H tel,11,2,9
Novotel Suites Paris Montreuil Vincennes,102,11,91
H tel France d Antin Op ra,18,5,13
Hotel Stendhal Place Vend me Paris MGallery by Sofitel,12,1,11
H tel De Buci by MH,29,5,24
Hotel Parc Saint Severin Esprit de France,72,7,65
Hotel Chavanel,7,3,4
Royal Saint Honore,63,13,50
Le Meurice,12,3,9
Maison Albar Hotel Paris C line,40,4,36
Holiday Inn Paris Montmartre,27,2,25
Hotel Pulitzer Paris,107,27,80
Hotel Vignon,58,6,52
H tel Aiglon Esprit de France,100,18,82
Hotel Elys es Bassano,60,9,51
Hotel Opera Cadet,31,5,26
Phileas Hotel,99,31,68
Holiday Inn Paris Elys es,31,4,27
H tel Beauchamps,143,29,114
Best Western Nouvel Orl ans Montparnasse,115,11,104
Hotel Plaza Athenee Paris,12,1,11
Mercure Paris Place d Italie,12,6,6
H tel Da Vinci Spa,73,6,67
XO Hotel,7,3,4
H tel Vernet,53,4,49
Mandarin Oriental Paris,9,1,8
Novotel Paris Vaugirard Montparnasse,131,9,122
Mercure Paris Arc de Triomphe Etoile,10,2,8
Forest Hill Paris la Villette,142,35,107
Le Pavillon de la Reine Spa,52,3,49
Hidden Hotel by Elegancia,35,9,26
Le Roch Hotel Spa,11,3,8
Hotel du Petit Moulin,30,4,26
Hotel Atmospheres,77,7,70
H tel La Comtesse by Elegancia,58,6,52
Hotel Astra Opera Astotel,22,2,20
Hotel La Villa Saint Germain Des Pr s,22,2,20
Grand Pigalle Hotel,61,9,52
Hotel Duminy Vendome,88,16,72
Maison Albar H tel Paris Champs Elys es ex Mac Mahon ,69,11,58
H tel Recamier,15,2,13
TRYP Paris Op ra,43,8,35
Royal Saint Michel,157,19,138
Hyatt Regency Paris Etoile,454,103,351
Relais Saint Jacques,63,12,51
Hotel Cambon,25,2,23
Mercure Paris Montmartre Sacr Coeur,160,18,142
Relais Christine,37,0,37
Les Matins de Paris Spa,32,5,27
Hotel Square,13,3,10
H tel Bourgogne Montana by MH,63,5,58
The Westin Paris Vend me,42,11,31
Hotel Montalembert,17,0,17
H tel Mathis Elys es,98,13,85
Le Saint Hotel Paris,23,4,19
Hotel Le Squara,71,19,52
L Hotel Pergol se Paris,103,32,71
H tel Mayfair Paris,27,4,23
Best Western Plus de Neuville Arc de Triomphe,41,6,35
Holiday Inn Paris Op ra Grands Boulevards,64,8,56
Le Belmont Champs Elys es,50,9,41
Duret,20,2,18
H tel Elysees Mermoz,58,5,53
Majestic Hotel Spa,19,4,15
BoB Hotel by Elegancia,29,2,27
Four Seasons Hotel George V Paris,32,3,29
H tel Fabric,36,5,31
H tel du Minist re,104,27,77
Hotel Les Bulles De Paris,92,10,82
Acad mie H tel Saint Germain,142,17,125
Plaza Tour Eiffel,33,11,22
Royal Hotel Champs Elys es,109,18,91
Best Western Allegro Nation,19,5,14
Prince de Galles a Luxury Collection hotel Paris,15,4,11
H tel La Parizienne by Elegancia,85,7,78
Madeleine Plaza,61,5,56
Castille Paris Starhotels Collezione,80,12,68
H tel D Aubusson,113,9,104
Hotel Oscar,38,8,30
Best Western Bretagne Montparnasse,108,14,94
Novotel Paris 17,60,8,52
Artus Hotel by MH,22,0,22
Best Western Premier Kapital Op ra,160,24,136
Timhotel Op ra Blanche Fontaine,59,7,52
H tel Amastan Paris,17,1,16
H tel Gustave,99,13,86
Best Western Tour Eiffel Invalides,45,3,42
Eiffel Trocad ro,72,11,61
Hotel Saint Petersbourg Opera,178,23,155
H tel Champs lys es Plaza,33,3,30
Melia Paris Tour Eiffel,28,9,19
Timhotel Op ra Grands Magasins,46,9,37
Mercure Paris Porte De Versailles Expo,14,9,5
Hotel Whistler,17,8,9
Hotel Georgette,27,5,22
Westside Arc de Triomphe Hotel,159,27,132
Etoile Saint Ferdinand,54,16,38
H tel Saint Marc,38,10,28
H tel Le Walt,25,5,20
H tel Le Royal Monceau Raffles Paris,11,1,10
Hotel Claridge Paris,92,21,71
H tel L Echiquier Op ra Paris MGallery by Sofitel,69,13,56
H tel De Castiglione,105,32,73
Edouard 7 Paris Op ra,78,7,71
Renaissance Paris Arc de Triomphe Hotel,19,5,14
Novotel Suites Paris Expo Porte de Versailles,133,7,126
K K H tel Cayr Saint Germain des Pr s,161,23,138
Le Grand H tel de Normandie,16,5,11
Monsieur Cadet Hotel Spa Ex Meyerhold Spa ,32,6,26
H tel de La Tamise Esprit de France,23,0,23
Buddha Bar Hotel Paris,49,9,40
Le A,36,4,32
Holiday Inn Paris Notre Dame,172,13,159
Mercure Paris Opera Garnier,54,9,45
Maison Albar Hotel Paris Op ra Diamond,155,22,133
Grand H tel Du Palais Royal,83,8,75
Best Western Aulivia Op ra,60,6,54
Renaissance Paris Vendome Hotel,10,1,9
Hotel Park Lane Paris,70,13,57
Little Palace Hotel,179,22,157
Napoleon Paris,93,13,80
H tel de Lille,69,10,59
H tel Concorde Montparnasse,388,58,330
Suites H tel Helzear Montparnasse,41,2,39
Renaissance Paris Republique Hotel Spa,5,2,3
Elys es R gencia,143,25,118
H tel De Sers Champs Elys es Paris,34,3,31
Hotel le Lapin Blanc,73,10,63
H tel R de Paris Boutique Hotel,60,24,36
Villa Panth on,142,16,126
Trinit Haussmann,38,4,34
H tel Crayon Rouge by Elegancia,39,13,26
Mercure Paris Opera Grands Boulevards,40,5,35
Hotel Le Saint Gregoire,9,1,8
Le Mathurin Hotel Spa,83,26,57
H tel Saint Paul Rive Gauche,27,2,25
H tel de Varenne,52,8,44
A La Villa Madame,18,2,16
Le Tsuba Hotel,29,6,23
H tel Barri re Le Fouquet s,12,3,9
Hotel Villa Lafayette Paris IX,13,2,11
L Empire Paris,58,7,51
Suites H tel Helzear Champs Elys es,113,13,100
Best Western Premier Op ra Faubourg Ex Hotel Jules ,188,37,151
Pershing Hall,8,2,6
H tel Pont Royal,36,4,32
Le G n ral H tel,69,7,62
H tel Th r se,75,16,59
Best Western Premier Trocadero La Tour,30,11,19
Le Relais M dicis,15,4,11
Les Jardins De La Villa Spa,49,16,33
Warwick Paris Former Warwick Champs Elysees ,175,30,145
Park Hyatt Paris Vendome,13,0,13
My Home In Paris,44,6,38
Mercure Paris Op ra Faubourg Montmartre,18,6,12
Best Western Plus Elys e Secret,62,16,46
Villa Beaumarchais,158,25,133
H tel Mansart Esprit de France,51,13,38
Holiday Inn Paris Gare de l Est,573,84,489
Le Cinq Codet,129,23,106
La Maison Favart,51,10,41
Le Pradey,27,3,24
Golden Tulip Washington Opera,48,9,39
Residence Henri IV,84,7,77
Hotel du Collectionneur Arc de Triomphe,148,30,118
Hotel Le Mareuil,19,3,16
Mercure Paris Champs Elys es,25,1,24
Best Western Le 18 Paris,55,5,50
H tel Powers,107,17,90
Villa Lut ce Port Royal,28,5,23
Oceania Paris Porte De Versailles,157,35,122
Mercure Paris Bastille Marais,22,4,18
Chateau Frontenac,76,17,59
H tel Du Jeu De Paume,57,7,50
Renaissance Paris Le Parc Trocadero Hotel,11,3,8
Hotel Carlton s Montmartre,44,3,41
Hotel Monge,44,2,42
Victoires Opera,20,5,15
Le Burgundy Paris,61,9,52
Hotel Sezz Paris,13,2,11
Hotel Montaigne,38,9,29
Hotel Royal Elys es,25,12,13
Mercure Paris Bercy Biblioth que,66,10,56
H tel Balzac,71,12,59
Victoria Palace Hotel,12,2,10
Hotel Eug ne en Ville,109,20,89
Newhotel Roblin,141,22,119
Le Relais Montmartre,75,7,68
Amarante Beau Manoir,82,8,74
Hotel Maison FL,43,16,27
Balmoral Champs Elys es,42,4,38
The Chess Hotel,120,25,95
AC Hotel Paris Porte Maillot by Marriott,41,22,19
B Montmartre,36,2,34
H tel Regent s Garden,37,12,25
Mercure Paris 15 Porte de Versailles,12,4,8
Hotel Le Placide Saint Germain Des Pr s,14,2,12
Nell Hotel Suites,19,2,17
Novotel Paris Centre Tour Eiffel,283,29,254
Best Western Plus 61 Paris Nation Hotel,51,13,38
Hotel Monsieur,89,17,72
Hotel Saint Dominique,52,11,41
Hotel Malte Astotel,14,3,11
InterContinental Paris Avenue Marceau,18,1,17
Mercure Tour Eiffel Grenelle,22,1,21
Mercure Paris Bastille Saint Antoine,14,4,10
Boutique H tel Konfidentiel,9,2,7
R Kipling by Happyculture,51,7,44
Hotel Des Saints Peres Esprit de France,45,8,37
Best Western Hotel Montmartre Sacr Coeur,158,20,138
H tel Jos phine by Happyculture,44,8,36
Hotel Le Chat Noir,67,7,60
Mercure Vaugirard Paris Porte De Versailles,63,14,49
H tel Bel Ami,61,9,52
Hotel de Nell,43,8,35
9Hotel Republique,97,24,73
Goralska R sidences H tel Paris Bastille,8,0,8
H tel Baume,92,4,88
Hotel West End,60,8,52
Arioso,28,9,19
H tel Lancaster Paris Champs Elys es,49,10,39
Melia Paris Notre Dame,36,2,34
Hotel Mademoiselle,113,27,86
Hotel Les Bains Paris,19,3,16
Hotel Ares Eiffel,113,15,98
Francois 1er,70,18,52
H tel Montmartre Mon Amour,35,4,31
Hotel Monceau Wagram,66,9,57
Paris Marriott Champs Elysees Hotel,40,4,36
H tel Exquis by Elegancia,88,12,76
Les Jardins Du Marais,88,10,78
Radisson Blu Champs Elys es Paris,62,12,50
Hotel Eiffel Blomet,5,1,4
Holiday Inn Paris Gare Montparnasse,160,30,130
H tel Thoumieux,20,6,14
Auteuil Tour Eiffel,106,13,93
Derby Alma,60,7,53
Mercure Paris Gobelins Place d Italie,14,1,13
H tel Original Paris,14,2,12
Novotel Paris Les Halles,272,21,251
Melia Paris Vendome,26,8,18
Chambiges Elys es,71,10,61
MARQUIS Faubourg St Honor Relais Ch teaux,5,0,5
H tel Le Bellechasse Saint Germain,33,6,27
Hotel Verneuil Saint Germain,36,1,35
Hotel Daniel Paris,7,0,7
Residence Du Roy,102,5,97
La Maison Champs Elys es,44,6,38
H tel Arvor Saint Georges,52,4,48
Le M ridien Etoile,39,24,15
La Clef Tour Eiffel,141,16,125
La Chambre du Marais,34,7,27
Novotel Paris Centre Bercy,94,5,89
Hotel OFF Paris Seine,57,11,46
Snob Hotel by Elegancia,38,7,31
Sofitel Paris Baltimore Tour Eiffel,67,11,56
Best Western Premier Faubourg 88,106,24,82
Hotel De Vigny,33,14,19
H tel Le Relais Saint Germain,18,1,17
Villa Alessandra,14,5,9
Ibis Styles Paris Gare Saint Lazare,10,3,7
Golden Tulip Opera de Noailles,77,6,71
Best Western Premier Op ra Li ge,60,13,47
H tel Cristal Champs Elys es,44,11,33
Best Western Le Jardin de Cluny,53,3,50
Le Pigalle Hotel,18,6,12
Relais H tel du Vieux Paris,69,4,65
Victoire Germain,28,4,24
Le Littr ,24,1,23
Hotel Le Sainte Beuve,32,2,30
Hotel Villa Saxe Eiffel,48,8,40
Holiday Inn Paris Saint Germain des Pr s,107,18,89
Hotel Spa La Belle Juliette,32,3,29
Rochester Champs Elysees,61,8,53
Hotel d Orsay Esprit de France,99,13,86
Mercure Paris Opera Louvre,55,9,46
La Villa des Ternes,76,20,56
H tel Monna Lisa Champs Elys es,46,4,42
H tel Waldorf Trocad ro,35,10,25
Best Western Amiral Hotel,72,15,57
Hotel Les Th tres,65,10,55
Mercure Paris 17 me Saint Lazare Monceau,7,1,6
Hotel du Louvre in the Unbound Collection by Hyatt,166,22,144
W Paris Op ra,17,1,16
total,,4787,25816
